code,name,sido,sigungu,eupmyeondong,ri,status,level,parent_code,sido_abbr,sido_en,name_en
4119510400,경기도 부천시 원미구 도당동,경기도,부천시 원미구,도당동,,폐지,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Dodang-dong
4119510500,경기도 부천시 원미구 약대동,경기도,부천시 원미구,약대동,,폐지,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Yakdae-dong
4119510600,경기도 부천시 원미구 소사동,경기도,부천시 원미구,소사동,,폐지,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Sosa-dong
4119510700,경기도 부천시 원미구 역곡동,경기도,부천시 원미구,역곡동,,폐지,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Yeokgok-dong
4119510800,경기도 부천시 원미구 중동,경기도,부천시 원미구,중동,,폐지,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Jung-dong
4119510900,경기도 부천시 원미구 상동,경기도,부천시 원미구,상동,,폐지,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Sang-dong
4119600000,경기도 부천시 오정구,경기도,부천시 오정구,,,존재,2,4119000000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu
4119610100,경기도 부천시 오정구 오정동,경기도,부천시 오정구,오정동,,존재,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Ojeong-dong
4119610200,경기도 부천시 오정구 여월동,경기도,부천시 오정구,여월동,,존재,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Yeowol-dong
4119610300,경기도 부천시 오정구 작동,경기도,부천시 오정구,작동,,존재,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Jak-dong
4119610400,경기도 부천시 오정구 원종동,경기도,부천시 오정구,원종동,,존재,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Wonjong-dong
4119610500,경기도 부천시 오정구 고강동,경기도,부천시 오정구,고강동,,존재,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Gogang-dong
4119610600,경기도 부천시 오정구 대장동,경기도,부천시 오정구,대장동,,존재,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Daejang-dong
4119610700,경기도 부천시 오정구 삼정동,경기도,부천시 오정구,삼정동,,존재,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Samjeong-dong
